scenario,n,kernel,mae,rmse,r2,rmse_log,r2_log
d1_d2,40,multiquadric,25182.44943903707,39048.170532421944,0.9176438294409239,0.16701184740655786,0.9452917467228044
d1_d2,40,inverse_multiquadric,23765.230131724922,37726.95221202268,0.9231226852163907,0.16235447315521762,0.9483004448441864
d1_d2,80,gaussian,22396.011187941083,33094.07020559913,0.9408445000029393,0.1718510570248474,0.9420754452290442
d1_d2,80,multiquadric,19109.4800769008,26942.904078649757,0.9607911981162928,0.16633051385555603,0.945737206578234
d1_d2,80,inverse_multiquadric,15839.170378242741,23333.952843082996,0.9705916002314873,0.15997122781371567,0.9498071281539926
d2,5,gaussian,17202.362965218825,26929.32124725011,0.05500162979002532,0.1650758686395675,0.17360113760681783
d2,5,multiquadric,15657.76799298788,25850.52759900265,0.12919870191801452,0.1578985853663245,0.2439004032343911
d2,5,inverse_multiquadric,12147.230879192859,22043.502371717776,0.3667992190146653,0.13675013243267106,0.43287598317497644
d2,10,gaussian,9359.078309808183,15390.758840568365,0.6913258139499139,0.09078012105500807,0.7500782557248379
d2,10,multiquadric,8260.327588144979,14514.804527396951,0.7254618971806484,0.08608207631422321,0.7752767559502483
d2,10,inverse_multiquadric,6472.698397658962,12566.950158142856,0.7942025304651701,0.0761175872166416,0.8242915873943255
d2,20,gaussian,6036.599187799774,9317.589430010119,0.8868674998722156,0.055355428508594914,0.9070727763256657
d2,20,multiquadric,4474.489805632779,8081.328308784742,0.9148968282406795,0.04869473745805542,0.9280904476042329
d2,20,inverse_multiquadric,3433.018075619413,6749.553415138073,0.9406350204608136,0.04257702430268637,0.945023999841957
d2,40,gaussian,3150.1559247460928,4511.211138218296,0.9734804254242605,0.02833560024174539,0.975650650582206
d2,40,multiquadric,2025.4044881236412,3360.7658423374596,0.9852817303852329,0.022399044947833693,0.9847846645824019
d2,40,inverse_multiquadric,1343.917500117283,2630.3995778784633,0.9909837966637235,0.019510858602551206,0.9884554956612455
d2,80,gaussian,2313.626054997607,2853.28527531576,0.9893910931658182,0.01750218767682973,0.990710182095919
d2,80,multiquadric,959.2278286741232,1515.4545891798289,0.997007279906429,0.00999533779193048,0.996970175455153
d2,80,inverse_multiquadric,533.5023150614867,1057.1174507603262,0.9985437808783229,0.008662554496505824,0.997724302733833
e1_e2,5,gaussian,20400.615891980993,31502.07806689311,0.5804671273061277,0.13173742542586941,0.5921495343813477
e1_e2,5,multiquadric,18569.392208489244,30161.913332045635,0.6154034674378043,0.12407877910802831,0.6381924359132878
e1_e2,5,inverse_multiquadric,18874.426762017563,30183.271999450135,0.6148585830463675,0.1235856746343929,0.6410624580090876
e1_e2,10,gaussian,16940.09964648403,27149.729390405257,0.6883848245133493,0.11324553471088096,0.6986128077790832
e1_e2,10,multiquadric,15558.838834034728,25874.881610798693,0.7169622704642837,0.10636698227597569,0.7341134950477717
e1_e2,10,inverse_multiquadric,16090.885637650299,25642.794950472253,0.7220169547677027,0.10683946891868774,0.7317460903996774
e1_e2,20,gaussian,10183.282100848679,20351.489462450947,0.8249024828965883,0.08156802041309992,0.8436411512727942
e1_e2,20,multiquadric,9877.365632737265,20268.331056215848,0.8263304945331768,0.08028942720442978,0.8485046376081873
e1_e2,20,inverse_multiquadric,9789.837198296867,19424.71094643205,0.8404867664612746,0.07896496129522894,0.853461590735728
e1_e2,40,gaussian,7862.662359457363,16050.38915608196,0.891092265868211,0.068777243345271,0.8888339565173514
e1_e2,40,multiquadric,6780.252942797882,14964.753728540882,0.9053268696294752,0.06375017140633556,0.9044907724332905
e1_e2,40,inverse_multiquadric,6480.872038722771,13506.790886116354,0.9228755746338821,0.059301321329343154,0.9173559941803479
e1_e2,80,gaussian,7905.189601969274,16047.056851409028,0.8911374829747413,0.062447161182212683,0.9083551594821041
e1_e2,80,multiquadric,5513.551056686098,11465.994706192274,0.9444209572103762,0.04743879937943965,0.9471128703517944
e1_e2,80,inverse_multiquadric,4918.758272578958,11269.074830098916,0.9463136208099944,0.050050440644498484,0.941129404373455
r,5,gaussian,39121.16492881836,49561.04340155392,0.7014888232969532,0.2898627469975463,0.8195913078224129
r,5,multiquadric,38831.85377499522,50527.08561740461,0.6897382679928417,0.2837803623734185,0.8270831446821253
r,5,inverse_multiquadric,34913.135230125066,46173.00034603307,0.7409068644794847,0.27236311070761443,0.8407170749917053
r,10,gaussian,36025.685549443755,47191.80917198489,0.7293469231838585,0.30141541563066815,0.8049241215600637
r,10,multiquadric,24811.28576490513,38663.92787365763,0.8183264684743109,0.25870886098887363,0.856287263605066
r,10,inverse_multiquadric,21409.061487202347,35826.47115599684,0.8440132245002469,0.23843300737718048,0.8779309951264204
r,20,gaussian,28914.722857231496,39761.01543657206,0.8078702362576249,0.2471739823907954,0.8688168181147498
r,20,multiquadric,23234.612260820457,34626.16008862567,0.8542903282929902,0.23215766599831061,0.8842719304431804
r,20,inverse_multiquadric,21074.65653177893,32022.199103604216,0.8753816428826728,0.20434252854898977,0.9103417666696587
r,40,gaussian,22819.658459323942,30747.009267176927,0.885109142191774,0.225905566321357,0.8904212063236391
r,40,multiquadric,21309.861200432726,29721.693721526586,0.8926438759330205,0.21751527538980286,0.8984097161381609
r,40,inverse_multiquadric,17494.238489047144,25804.391942612732,0.9190779317722844,0.18148740455007684,0.9292761929523595
r,80,gaussian,21405.840975661584,30244.891705471397,0.8888309787307023,0.22200283375553095,0.8941746564582292
r,80,multiquadric,20009.830353258483,29010.069580122545,0.8977231708193533,0.20633919336629183,0.9085810754818442
r,80,inverse_multiquadric,15239.813708637077,23764.416784931676,0.9313668336061117,0.16042018448617557,0.9447425710646942
r_K,5,gaussian,136287.45320921068,218625.45853549326,-0.0005170776990559567,0.8476208746192769,0.18180688850383742
r_K,5,multiquadric,110473.6688223352,178566.6102150553,0.3325426068097529,0.8181210059249949,0.23776722526821004
r_K,5,inverse_multiquadric,93154.63052301714,136679.54953663825,0.6089519569735543,0.7268591012480163,0.3983374265579248
r_K,10,gaussian,90439.54757135987,125876.14797011073,0.6683271460357368,0.5086255196468104,0.7053890906686965
r_K,10,multiquadric,75831.22672074681,104904.0377757669,0.7696397992032815,0.44708246853537115,0.7723708839935005
r_K,10,inverse_multiquadric,78339.65370168109,110182.31389911118,0.7458753365858823,0.45301438433749713,0.7662904195577109
r_K,20,gaussian,70339.23761589956,128613.73136553659,0.6537436746760512,0.5580413236325212,0.6453620141451668
r_K,20,multiquadric,54636.72574315414,89894.49585685864,0.8308432854101636,0.49379100456216124,0.722323657919556
